epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1960.3,1.40415,1.56337,1.76125,0.62055,0.51965,0.55089,0.2652,1.58913,2.16452,1.6882,0.0014588,0.0014588,0.0014588
43,2007.08,1.37633,1.43608,1.75345,0.56689,0.50869,0.50068,0.22538,1.66527,2.07826,1.77906,0.0014456,0.0014456,0.0014456
44,2053.64,1.36374,1.51676,1.72937,0.57929,0.53514,0.49644,0.24744,1.62748,2.1971,1.74166,0.0014324,0.0014324,0.0014324
45,2101.22,1.35381,1.46142,1.73794,0.6779,0.52402,0.57518,0.2744,1.57082,2.03143,1.70638,0.0014192,0.0014192,0.0014192
46,2151.18,1.34592,1.45591,1.6975,0.64056,0.53275,0.55872,0.26668,1.61241,1.99777,1.70684,0.001406,0.001406,0.001406
47,2199.26,1.35392,1.4557,1.7286,0.61697,0.48533,0.51205,0.25612,1.63672,2.19644,1.76004,0.0013928,0.0013928,0.0013928
48,2245.91,1.39655,1.44983,1.77482,0.56345,0.58515,0.54069,0.25364,1.61145,2.02179,1.69382,0.0013796,0.0013796,0.0013796
49,2293.35,1.3526,1.45466,1.71452,0.6502,0.55022,0.57868,0.26858,1.58526,1.95847,1.6738,0.0013664,0.0013664,0.0013664
50,2340.12,1.34368,1.46979,1.6967,0.69476,0.51685,0.53034,0.2635,1.61146,1.95832,1.68115,0.0013532,0.0013532,0.0013532
51,2386.79,1.32878,1.39987,1.68643,0.68447,0.48472,0.51533,0.2555,1.63824,2.04244,1.71709,0.00134,0.00134,0.00134
52,2433.52,1.31001,1.36771,1.68078,0.65396,0.51092,0.53452,0.26014,1.69463,2.15739,1.77502,0.0013268,0.0013268,0.0013268
53,2480.33,1.37296,1.41366,1.74482,0.77131,0.51965,0.59462,0.27973,1.61345,1.92186,1.70872,0.0013136,0.0013136,0.0013136
54,2526.65,1.33175,1.37839,1.67886,0.76498,0.54013,0.6065,0.30187,1.61578,1.86656,1.72564,0.0013004,0.0013004,0.0013004
55,2573.73,1.32831,1.39095,1.69453,0.65674,0.51965,0.51542,0.25624,1.62104,2.31623,1.68143,0.0012872,0.0012872,0.0012872
56,2620.59,1.25991,1.33869,1.61293,0.74326,0.52838,0.57897,0.29282,1.6522,2.06105,1.73503,0.001274,0.001274,0.001274
57,2666.52,1.27894,1.2631,1.64394,0.68721,0.50218,0.5231,0.24455,1.59487,1.99227,1.70497,0.0012608,0.0012608,0.0012608
58,2712.94,1.29481,1.30453,1.65908,0.63366,0.54148,0.5274,0.24526,1.65065,2.02547,1.74577,0.0012476,0.0012476,0.0012476
59,2759.31,1.30923,1.3674,1.68565,0.70763,0.48472,0.55295,0.25856,1.67152,2.14702,1.82276,0.0012344,0.0012344,0.0012344
60,2805.7,1.2815,1.34178,1.66137,0.70691,0.52662,0.53702,0.2519,1.69876,2.05866,1.75665,0.0012212,0.0012212,0.0012212
61,2852.04,1.24809,1.3126,1.6499,0.75468,0.49345,0.57114,0.27713,1.61762,1.94654,1.76172,0.001208,0.001208,0.001208
62,2898.37,1.2547,1.30052,1.64765,0.69112,0.55459,0.58097,0.27615,1.66799,1.89419,1.82503,0.0011948,0.0011948,0.0011948
63,2944.57,1.30658,1.26874,1.68974,0.72983,0.54148,0.58058,0.27459,1.69837,2.04723,1.85592,0.0011816,0.0011816,0.0011816
64,2990.89,1.2425,1.26503,1.63197,0.71049,0.52402,0.54282,0.27137,1.6437,2.07251,1.76753,0.0011684,0.0011684,0.0011684
65,3038.56,1.26872,1.32982,1.65279,0.71373,0.55895,0.57836,0.30125,1.54897,1.87558,1.66682,0.0011552,0.0011552,0.0011552
66,3085.57,1.29338,1.26437,1.64782,0.70175,0.52399,0.55835,0.27297,1.66315,1.95592,1.73109,0.001142,0.001142,0.001142
67,3131.87,1.24993,1.22697,1.62102,0.69257,0.48908,0.55758,0.27332,1.62283,1.8287,1.70246,0.0011288,0.0011288,0.0011288
68,3178.01,1.21244,1.17201,1.59398,0.73826,0.56658,0.6139,0.30627,1.65845,1.98431,1.71223,0.0011156,0.0011156,0.0011156
69,3224.29,1.25343,1.18685,1.61409,0.67312,0.51965,0.54523,0.25614,1.69666,1.96562,1.77622,0.0011024,0.0011024,0.0011024
70,3270.49,1.25718,1.18201,1.65003,0.7682,0.56332,0.5741,0.28091,1.65953,1.96279,1.7613,0.0010892,0.0010892,0.0010892
71,3317.09,1.23455,1.22752,1.61806,0.67271,0.55459,0.55109,0.25308,1.71198,1.94225,1.81797,0.001076,0.001076,0.001076
72,3363.42,1.19407,1.17562,1.57903,0.59511,0.52838,0.50139,0.24681,1.7048,2.02493,1.83602,0.0010628,0.0010628,0.0010628
73,3409.6,1.1783,1.13743,1.57983,0.71928,0.52402,0.54087,0.25761,1.70001,1.9752,1.78629,0.0010496,0.0010496,0.0010496
74,3457.34,1.19836,1.14733,1.58961,0.72107,0.51928,0.51473,0.2607,1.7279,2.04687,1.83259,0.0010364,0.0010364,0.0010364
75,3504.07,1.20458,1.11676,1.59586,0.74052,0.51096,0.55499,0.26436,1.80233,2.03735,1.90254,0.0010232,0.0010232,0.0010232
76,3551.19,1.20153,1.149,1.60821,0.73563,0.56769,0.57458,0.27642,1.73056,2.01395,1.85995,0.00101,0.00101,0.00101
77,3598.03,1.1691,1.08433,1.55165,0.75055,0.55459,0.58825,0.28575,1.73556,1.94,1.86525,0.0009968,0.0009968,0.0009968
78,3645.95,1.1883,1.12332,1.58094,0.7095,0.5546,0.53876,0.25438,1.75716,2.09703,1.908,0.0009836,0.0009836,0.0009836
79,3693.34,1.25264,1.16314,1.63206,0.72748,0.51965,0.5491,0.26115,1.81102,2.17644,1.9466,0.0009704,0.0009704,0.0009704
80,3739.87,1.16414,1.06469,1.56336,0.62195,0.50218,0.46614,0.19876,1.90783,2.31325,2.05463,0.0009572,0.0009572,0.0009572
81,3786.36,1.25156,1.14469,1.63917,0.68154,0.58952,0.56011,0.27357,1.74973,1.9578,1.8621,0.000944,0.000944,0.000944
82,3832.94,1.19475,1.08752,1.60689,0.68227,0.50635,0.50898,0.23159,1.85556,2.23354,2.01027,0.0009308,0.0009308,0.0009308
83,3879.16,1.1822,1.10967,1.56945,0.73883,0.48035,0.53972,0.26005,1.76149,2.1763,1.88119,0.0009176,0.0009176,0.0009176
84,3926.84,1.20499,1.10261,1.59976,0.72562,0.51967,0.5405,0.25219,1.83499,2.00831,1.99917,0.0009044,0.0009044,0.0009044
85,3974.06,1.15748,1.07594,1.57942,0.72283,0.55022,0.5618,0.25743,1.77926,2.03788,1.95365,0.0008912,0.0008912,0.0008912
86,4020.74,1.15796,1.03973,1.56,0.71706,0.57549,0.57934,0.28215,1.79062,1.9548,1.97036,0.000878,0.000878,0.000878
87,4067.19,1.19457,1.0659,1.59082,0.66925,0.56332,0.539,0.25846,1.7622,2.00165,1.91162,0.0008648,0.0008648,0.0008648
88,4113.31,1.13247,1.03779,1.51578,0.7127,0.57205,0.56692,0.27478,1.77955,2.0144,1.94366,0.0008516,0.0008516,0.0008516
89,4159.41,1.07779,0.93569,1.47662,0.73748,0.56332,0.57514,0.28199,1.78906,2.07657,2.00916,0.0008384,0.0008384,0.0008384
90,4205.84,1.18106,1.11283,1.58652,0.73968,0.54585,0.53271,0.25344,1.80608,1.96866,1.99297,0.0008252,0.0008252,0.0008252
91,4251.9,1.16303,1.01128,1.57607,0.77462,0.55895,0.56358,0.2687,1.81705,1.99227,1.9942,0.000812,0.000812,0.000812
92,4298.21,1.12098,1.00459,1.53629,0.64666,0.54585,0.51731,0.24253,1.84497,2.17107,1.99304,0.0007988,0.0007988,0.0007988
93,4344.82,1.13586,1.01982,1.56102,0.72156,0.61135,0.59139,0.28571,1.80596,1.86399,1.94507,0.0007856,0.0007856,0.0007856
94,4390.63,1.06726,0.93504,1.47409,0.7384,0.53712,0.50252,0.22249,1.91937,2.16284,2.12709,0.0007724,0.0007724,0.0007724
95,4437.05,1.11668,0.95524,1.52038,0.73222,0.55895,0.53289,0.24138,1.88382,1.97774,2.07213,0.0007592,0.0007592,0.0007592
96,4483.25,1.09537,0.99371,1.50747,0.74396,0.51965,0.54519,0.26436,1.83084,2.0108,2.00817,0.000746,0.000746,0.000746
97,4529.45,1.15763,1.02723,1.58589,0.75252,0.55022,0.54633,0.26242,1.83248,2.03079,1.98548,0.0007328,0.0007328,0.0007328
98,4575.61,1.10234,0.94032,1.53158,0.73845,0.57642,0.56438,0.27093,1.83994,2.00498,2.04373,0.0007196,0.0007196,0.0007196
99,4621.71,1.08887,0.90242,1.5171,0.76811,0.52072,0.54483,0.24845,1.89744,2.14378,2.08239,0.0007064,0.0007064,0.0007064
100,4668.48,1.06064,0.92827,1.47451,0.81149,0.57205,0.60189,0.28115,1.83951,1.83906,2.07817,0.0006932,0.0006932,0.0006932
101,4714.85,1.09925,0.93032,1.51649,0.71461,0.58952,0.56707,0.26266,1.85256,1.87923,2.10893,0.00068,0.00068,0.00068
102,4762.09,1.04894,0.86239,1.47904,0.75705,0.58515,0.6007,0.29346,1.80368,1.87246,2.01092,0.0006668,0.0006668,0.0006668
103,4808.71,1.08806,0.8859,1.51959,0.77809,0.56652,0.56153,0.24752,1.87711,2.02138,2.08691,0.0006536,0.0006536,0.0006536
104,4855.46,1.07435,0.90681,1.5155,0.80009,0.59422,0.64226,0.29707,1.77154,1.85164,2.00745,0.0006404,0.0006404,0.0006404
105,4902.44,1.05204,0.89713,1.47229,0.7866,0.57205,0.60366,0.27433,1.85439,2.04368,2.11235,0.0006272,0.0006272,0.0006272
106,4948.44,1.04867,0.86282,1.46725,0.75634,0.56931,0.59537,0.25875,1.87868,1.88568,2.13709,0.000614,0.000614,0.000614
107,4994.43,1.04743,0.9079,1.46392,0.78477,0.52545,0.57983,0.27484,1.86389,1.98512,2.06321,0.0006008,0.0006008,0.0006008
108,5040.48,1.05484,0.85064,1.45521,0.72697,0.55022,0.58999,0.26444,1.9115,1.98686,2.13356,0.0005876,0.0005876,0.0005876
109,5087.3,1.05382,0.84716,1.46555,0.70554,0.60699,0.59154,0.27641,1.85427,1.96764,2.14338,0.0005744,0.0005744,0.0005744
110,5133.75,1.04164,0.82382,1.46367,0.70706,0.55861,0.5823,0.28394,1.83456,2.03331,2.07898,0.0005612,0.0005612,0.0005612
111,5179.91,1.03207,0.85,1.45404,0.67243,0.51097,0.52826,0.2418,1.92491,2.16321,2.17282,0.000548,0.000548,0.000548
112,5226.17,0.98215,0.82077,1.38233,0.62542,0.60517,0.57236,0.27062,1.8606,1.98283,2.0956,0.0005348,0.0005348,0.0005348
113,5272.78,1.05748,0.94463,1.46681,0.61313,0.55895,0.56851,0.25033,1.93028,2.07319,2.17594,0.0005216,0.0005216,0.0005216
114,5319.05,1.04386,0.85368,1.46122,0.74847,0.55022,0.5582,0.25852,1.88582,2.00275,2.11805,0.0005084,0.0005084,0.0005084
115,5365.31,1.03645,0.89,1.47597,0.81793,0.55459,0.58312,0.26618,1.85605,2.06508,2.11986,0.0004952,0.0004952,0.0004952
116,5411.37,0.98417,0.82754,1.40854,0.76213,0.58079,0.59018,0.26197,1.91583,1.98939,2.1994,0.000482,0.000482,0.000482
117,5457.63,0.99495,0.81149,1.41251,0.74332,0.56332,0.56504,0.25833,1.91096,1.98841,2.23185,0.0004688,0.0004688,0.0004688
118,5503.86,1.02424,0.83124,1.44718,0.73589,0.55022,0.56985,0.26669,1.86954,1.88341,2.11714,0.0004556,0.0004556,0.0004556
